,gene,gains,losses,count,dist,subsize
4192,group_453,0,0,0.0,inf,0.0
4193,group_481,0,0,0.0,inf,0.0
4194,group_5088,1,0,1.0,0.05178,0.001728
4195,group_5820,1,0,1.0,0.31640199999999996,0.000713
4196,group_5826,0,0,0.0,inf,0.0
4197,group_5926,2,0,2.0,0.316068,0.0015760000000000001
4198,group_6126,0,0,0.0,inf,0.0
4199,group_7861,1,0,1.0,0.31640199999999996,0.000713
4200,group_7862,1,0,1.0,0.31640199999999996,0.000713
4201,group_7939,2,0,2.0,0.316068,0.0015760000000000001
4202,group_9017,0,0,0.0,inf,0.0
4203,group_997,0,0,0.0,inf,0.0
4204,group_1901,0,0,0.0,inf,0.0
4205,group_2614,0,0,0.0,inf,0.0
4206,group_2711,1,0,1.0,0.338228,0.001692
4207,group_3029,1,0,1.0,0.316102,0.000675
4208,group_3124,0,0,0.0,inf,0.0
4209,group_436,0,0,0.0,inf,0.0
4210,group_5838,1,0,1.0,0.341218,0.001432
4211,group_5921,1,0,1.0,0.053032,0.000498
4212,group_6921,1,0,1.0,0.033531,0.00526
4213,group_6922,1,0,1.0,0.033531,0.00526
4214,group_6923,1,0,1.0,0.033531,0.00526
4215,group_7478,1,0,1.0,0.338704,0.002265
4216,mtrB_1,0,0,0.0,inf,0.0
4217,group_7590,1,0,1.0,0.341218,0.001432
4218,group_7914,1,0,1.0,0.31640199999999996,0.000713
4219,group_7924,1,0,1.0,0.316068,0.000863
4220,group_7925,1,0,1.0,0.316068,0.000863
4221,group_8340,0,0,0.0,inf,0.0
4222,group_895,0,0,0.0,inf,0.0
4223,glpK_2,0,0,0.0,inf,0.0
4224,group_1125,1,0,1.0,0.341218,0.001432
4225,group_1680,1,0,1.0,0.252038,0.000536
4226,group_1913,1,0,1.0,0.252095,0.000593
4227,group_2181,1,0,1.0,0.337495,0.000844
4228,adhC,0,0,0.0,inf,0.0
4229,group_307,0,0,0.0,inf,0.0
4230,group_3809,1,0,1.0,0.053032,0.000498
4231,group_390,1,0,1.0,0.341218,0.001432
