Unique_No,Unique_ID,Sample_No,Sample_Well,Sample_Plate,Bio_Replicate,Tech_Replicate,Phage,Growth Rate,Time to Max Growth,Saturation OD,Rsq,AUC
298,Plate 4 Well A11,11,A11,A,1,2,1,0.114069527,112.0022222,0.359384447,0.999942678,21.9043
299,Plate 4 Well A12,12,A12,A,1,2,1,0,0,0.005667708,0,18.02796667
300,Plate 4 Well B1,13,B1,A,1,2,1,0.103822323,6.666666667,0.095195661,0.99959595,33.41176667
301,Plate 4 Well B2,14,B2,A,1,2,1,0.044033176,62.00111111,0.074925856,0.997883732,22.92906667
302,Plate 4 Well B3,15,B3,A,1,2,1,0,0,0.147897602,0,26.36386667
303,Plate 4 Well B4,16,B4,A,1,2,1,0.043052887,7.333333333,0.087306924,0.996724849,24.30606667
304,Plate 4 Well B5,17,B5,A,1,2,1,0.088967438,6,0.851265769,0.999954627,121.9171667
305,Plate 4 Well B6,18,B6,A,1,2,1,0,0,0.04208384,0,20.2993
306,Plate 4 Well B7,19,B7,A,1,2,1,0.092153983,5.333333333,0.937198777,0.999764267,122.4462333
307,Plate 4 Well B8,20,B8,A,1,2,1,0,0,0.033791149,0,20.04213333
308,Plate 4 Well B9,21,B9,A,1,2,1,0,0,0.042673322,0,20.17026667
309,Plate 4 Well B10,22,B10,A,1,2,1,0.063271796,6.333333333,0.280919017,0.999921077,60.9868
310,Plate 4 Well B11,23,B11,A,1,2,1,0.070694177,8,0.858332893,0.999937874,106.2578
311,Plate 4 Well B12,24,B12,A,1,2,1,0,0,0.039406439,0,19.9677
312,Plate 4 Well C1,25,C1,A,1,2,1,0,0,0.024440042,0,19.8539
313,Plate 4 Well C2,26,C2,A,1,2,1,0.111083128,4.666666667,0.455026299,0.999799657,89.07356667
314,Plate 4 Well C3,27,C3,A,1,2,1,0.050706185,11.33333333,0.726666055,0.999894231,67.112
315,Plate 4 Well C4,28,C4,A,1,2,1,0.107668323,23,0.72266071,0.999961001,84.31626667
316,Plate 4 Well C5,29,C5,A,1,2,1,0.102496104,21,0.723727688,0.999877003,92.37016667
317,Plate 4 Well C6,30,C6,A,1,2,1,0.073010602,59.00083333,0.537864699,0.999974581,36.34476667
318,Plate 4 Well C7,31,C7,A,1,2,1,0,0,0.049293898,0,20.9224
319,Plate 4 Well C8,32,C8,A,1,2,1,0.122920977,25.6675,0.577975021,0.999885911,71.2487
320,Plate 4 Well C9,33,C9,A,1,2,1,0,0,0.050549469,0,20.6789
321,Plate 4 Well C10,34,C10,A,1,2,1,0.124688752,4.666666667,0.602130465,0.999061282,105.4160333
322,Plate 4 Well C11,35,C11,A,1,2,1,0.112529413,4.666666667,0.781797508,0.999539848,129.9203
323,Plate 4 Well C12,36,C12,A,1,2,1,0.080874253,4.666666667,0.06030104,0.999166397,25.9873
324,Plate 4 Well D1,37,D1,A,1,2,1,0.115513703,22.66666667,0.674121207,0.999664306,83.2357
325,Plate 4 Well D2,38,D2,A,1,2,1,0.085936372,6.666666667,0.845922246,0.999991928,123.5811667
326,Plate 4 Well D3,39,D3,A,1,2,1,0.101071058,4.666666667,1.009398429,0.998583451,144.1720667
327,Plate 4 Well D4,40,D4,A,1,2,1,0,0,0.034095697,0,21.1713
328,Plate 4 Well D5,41,D5,A,1,2,1,0,0,0.093849011,0,22.52856667
329,Plate 4 Well D6,42,D6,A,1,2,1,0,0,0.054761248,0,23.01896667
