TreeTipLabel,Dataset,Lineage,Subphylogroup,Phylogroup,NewTreeTipLabel,SampleName
2PB1F_S1A08,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A08
2PB1F_S1A09,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A09
2PB1F_S1A10,Baker2023,acera27,H.2,H,Family 2 - Adult 2 - Lineage 27 - TP1,2PB1F_S1A10
2PB1F_S1A11,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A11
2PB1F_S1A12,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A12
2PB1F_S1A13,Baker2023,acera49,D.1,D,Family 2 - Adult 2 - Lineage 49 - TP1,2PB1F_S1A13
2PB1F_S1A14,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A14
2PB1F_S1A16,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A16
2PB1F_S1A17,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1F_S1A17
2PB1F_S1A18,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1F_S1A18
2PB1F_S1A19,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A19
2PB1F_S1A21,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A21
2PB1F_S1A22,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A22
2PB1F_S1A23,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A23
2PB1F_S1A24,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A24
2PB1K_S1C50,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1K_S1C50
2PB1K_S1C53,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1K_S1C53
2PB1K_S1C54,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1K_S1C54
2PB1K_S1C56,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1K_S1C56
2PB1K_S1C57,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1K_S1C57
2PB1K_S1C58,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1K_S1C58
2PB1K_S1C59,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1K_S1C59
2PB1K_S1C61,Baker2023,acera89,H.3,H,Family 2 - Adult 2 - Lineage 89 - TP1,2PB1K_S1C61
2PB1K_S1C63,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1K_S1C63
2PB1K_S1C64,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1K_S1C64
2PB1K_S1C67,Baker2023,acera28,H.3,H,Family 2 - Adult 2 - Lineage 28 - TP1,2PB1K_S1C67
2PB1K_S1C69,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1K_S1C69
2PB1K_S1C70,Baker2023,acera29,E.1,E,Family 2 - Adult 2 - Lineage 29 - TP1,2PB1K_S1C70
2PB1N_S1B27,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1N_S1B27
2PB1N_S1B28,Baker2023,acera27,H.2,H,Family 2 - Adult 2 - Lineage 27 - TP1,2PB1N_S1B28
2PB1N_S1B31,Baker2023,acera27,H.2,H,Family 2 - Adult 2 - Lineage 27 - TP1,2PB1N_S1B31
2PB1N_S1B33,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1N_S1B33
2PB1N_S1B34,Baker2023,acera27,H.2,H,Family 2 - Adult 2 - Lineage 27 - TP1,2PB1N_S1B34
2PB1N_S1B35,Baker2023,acera28,H.3,H,Family 2 - Adult 2 - Lineage 28 - TP1,2PB1N_S1B35
2PB1N_S1B36,Baker2023,acera29,E.1,E,Family 2 - Adult 2 - Lineage 29 - TP1,2PB1N_S1B36
2PB1N_S1B37,Baker2023,acera89,H.3,H,Family 2 - Adult 2 - Lineage 89 - TP1,2PB1N_S1B37
2PB1N_S1B38,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1N_S1B38
2PB1N_S1B39,Baker2023,acera27,H.2,H,Family 2 - Adult 2 - Lineage 27 - TP1,2PB1N_S1B39
2PB1N_S1B42,Baker2023,acera28,H.3,H,Family 2 - Adult 2 - Lineage 28 - TP1,2PB1N_S1B42
2PB1N_S1B43,Baker2023,acera27,H.2,H,Family 2 - Adult 2 - Lineage 27 - TP1,2PB1N_S1B43
2PB1N_S1B45,Baker2023,acera89,H.3,H,Family 2 - Adult 2 - Lineage 89 - TP1,2PB1N_S1B45
2PB1N_S1B46,Baker2023,acera27,H.2,H,Family 2 - Adult 2 - Lineage 27 - TP1,2PB1N_S1B46
2PB1N_S1B47,Baker2023,acera27,H.2,H,Family 2 - Adult 2 - Lineage 27 - TP1,2PB1N_S1B47
2PB1N_S1B48,Baker2023,acera29,E.1,E,Family 2 - Adult 2 - Lineage 29 - TP1,2PB1N_S1B48
3AA2F_X0713,Baker2023,acera14,H.2,H,Family 3 - Child 1 - Lineage 14 - TP2,3AA2F_X0713
3AA2K_X0752,Baker2023,acera94,H.2,H,Family 3 - Child 1 - Lineage 94 - TP2,3AA2K_X0752
3AB2C_S2R268,Baker2023,acera11,A.3,A,Family 3 - Child 2 - Lineage 11 - TP2,3AB2C_S2R268
3AB2F_X0701,Baker2023,acera13,H.3,H,Family 3 - Child 2 - Lineage 13 - TP2,3AB2F_X0701
3AB2F_X0711,Baker2023,acera94,H.2,H,Family 3 - Child 2 - Lineage 94 - TP2,3AB2F_X0711
3AB2N_X0749,Baker2023,acera12,D.1,D,Family 3 - Child 2 - Lineage 12 - TP2,3AB2N_X0749
3PA2C_X0773,Baker2023,acera14,H.2,H,Family 3 - Adult 1 - Lineage 14 - TP2,3PA2C_X0773
